dataset,public_trajectory_id,original_trajectory_sha256,public_span_id,start_step_index,end_step_index,span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence,step_count
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,S0002782,6,6,productive_iteration,True,True,False,False,False,,1.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,S0002783,0,1,productive_iteration,False,True,False,False,False,,2.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,S0002784,7,12,productive_iteration,False,True,False,False,False,,6.0
Natural500,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,S0002785,2,4,productive_iteration,True,True,False,False,False,,3.0
Natural500,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,S0002786,0,8,productive_iteration,False,True,False,False,False,,8.0
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,S0002787,0,9,productive_iteration,False,True,False,False,False,,10.0
Natural500,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,S0002788,11,12,productive_iteration,False,True,False,False,False,,2.0
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,S0002789,4,4,productive_iteration,False,True,False,False,False,,1.0
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,S0002790,0,3,productive_iteration,False,True,False,False,False,,4.0
Natural500,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,S0002791,5,9,productive_iteration,False,True,False,False,False,,5.0
Natural500,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,S0002792,0,14,productive_iteration,False,True,False,False,False,,15.0
Natural500,Natural500_T000006,64616f21ef2dbb6a43010505f9807bb2de8f1fbb6d8f46a4b51cafb44eb95d04,S0002793,2,11,productive_iteration,False,True,False,False,False,,9.0
Natural500,Natural500_T000007,0400dae36d9679d36453ef887003e3129d9460d19aefa5a9dc5959404a882994,S0002794,12,12,unproductive_cycle,False,False,True,False,False,,1.0
Natural500,Natural500_T000007,0400dae36d9679d36453ef887003e3129d9460d19aefa5a9dc5959404a882994,S0002795,4,10,productive_iteration,False,True,False,False,False,,7.0
Natural500,Natural500_T000008,6df96cb6ddd2aad92e7afdd1ef1c681b88b6745e996bd063e922347fdc4023c8,S0002796,14,22,productive_iteration,True,True,False,False,False,,4.0
