dataset,public_trajectory_id,original_trajectory_sha256,public_span_id,start_step_index,end_step_index,span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence,step_count
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,S0004033,104,176,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000102,7b6671c33c923fab74f6c246cdf785129261a2b4f998ba02d9b1c455fe9e6dcd,S0004034,54,99,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000103,717121ca8d832bfe62c7a120a35912b7a7fa20bf0e2ffaf17220fcaae7ad811d,S0004035,72,149,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000104,43c3cdffd29f3f721f36e06264f7319c433305835597fbc85cf596e8ec820ad9,S0004036,76,199,productive_iteration,False,True,False,False,False,medium,
OpenHandsExternal330,OpenHandsExternal330_T000104,43c3cdffd29f3f721f36e06264f7319c433305835597fbc85cf596e8ec820ad9,S0004037,200,200,unresolved,False,False,False,False,True,low,
OpenHandsExternal330,OpenHandsExternal330_T000105,b05313837f8a609b41a364d015403ee574029cb9b918bf6f8c4b389189009b42,S0004038,48,80,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000106,2d105df18c3a6014fc5c90c32215886032929669448a0dafc24793d9f254cf21,S0004039,42,83,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000107,5c1108d0bb9e36d17a2f2f4756a317ac9f5f055788a60472c22bfbe10070b130,S0004040,78,85,unproductive_cycle,False,False,True,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000107,5c1108d0bb9e36d17a2f2f4756a317ac9f5f055788a60472c22bfbe10070b130,S0004041,90,103,unproductive_cycle,False,False,True,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000107,5c1108d0bb9e36d17a2f2f4756a317ac9f5f055788a60472c22bfbe10070b130,S0004042,104,135,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000107,5c1108d0bb9e36d17a2f2f4756a317ac9f5f055788a60472c22bfbe10070b130,S0004043,110,125,productive_iteration,True,True,False,False,False,medium,
OpenHandsExternal330,OpenHandsExternal330_T000108,c5adabadeaa4d9b2914dfd06263d529d2c2d22eac604f767166aa5e035b4fcaf,S0004044,62,101,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000109,53f6ab5659fac925288e06d59618cf9546f1112e69328baee05712b092f70c35,S0004045,76,119,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000110,eb802e7a3b5f37fa42de7d7da1c8ff033311f410614c4f0b12d1c6e32aacac60,S0004046,50,101,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000111,b0f9cfe2c95e5e123eebbf72137a1bc3eebb6186a4a8ef855c6da6da503c174a,S0004047,66,173,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000112,16c60f99ed8a6f37d59152816d289fc50e7a5b50c2c4cde75211a5512390b8f0,S0004048,46,97,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000113,e453b8d14a9a5637ded6255b2442834c81769c76491af2261d47b9f8f5a8317c,S0004049,60,104,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000114,fc88cc94b52e25ca95153ed5a97d2099fbe73d4ab517161fff4bca45675e8894,S0004050,80,112,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000115,caae0ec7e482905a0f9858f8f2366deab9e4ac8bae9c7c34611a36474acb5acd,S0004051,62,101,productive_iteration,False,True,False,False,False,high,
OpenHandsExternal330,OpenHandsExternal330_T000116,6a312b63528cbb67b1983b438b5abfa0f286cd55a8815681f8ee4767e58126cb,S0004052,34,86,productive_iteration,False,True,False,False,False,high,
