dataset,public_trajectory_id,original_trajectory_sha256,step_index,step_label,step_span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,0,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,1,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,2,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,3,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,4,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,5,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,6,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,7,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,8,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,9,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,10,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,11,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,12,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,13,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,14,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,15,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,16,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,17,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,18,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,19,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,20,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,21,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,22,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,23,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,24,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,25,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,26,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,27,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,28,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,29,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,30,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,31,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,32,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,33,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,34,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,35,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,36,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,37,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,38,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,39,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,40,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,41,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,42,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,43,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,44,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,45,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,46,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,47,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,48,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,49,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,50,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,51,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,52,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,53,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,54,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,55,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,56,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,57,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,58,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,59,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,60,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,61,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,62,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,63,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,64,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,65,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,66,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,67,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,68,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,69,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,70,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,71,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,72,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,73,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,74,productive,,False,False,False,False,False,high
OpenHandsExternal330,OpenHandsExternal330_T000101,20193727eb52074cbb3ec5428d3b1f6ca0b2ee01148cfcab90a334e007549fc1,75,productive,,False,False,False,False,False,high
