dataset,public_trajectory_id,original_trajectory_sha256,public_span_id,start_step_index,end_step_index,span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence,step_count
StressFresh100,StressFresh100_T000001,e14facb83fe13c44d0c879170b6e1ec2612f29b99fae60f62a68f6205ea24f4c,S0004534,0,14,productive_iteration,False,True,False,False,False,,15.0
StressFresh100,StressFresh100_T000001,e14facb83fe13c44d0c879170b6e1ec2612f29b99fae60f62a68f6205ea24f4c,S0004535,15,23,unproductive_cycle,False,False,True,False,False,,9.0
StressFresh100,StressFresh100_T000001,e14facb83fe13c44d0c879170b6e1ec2612f29b99fae60f62a68f6205ea24f4c,S0004536,25,95,unproductive_cycle,False,False,True,False,False,,71.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004537,0,1,productive_iteration,False,True,False,False,False,,2.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004538,2,4,unproductive_cycle,False,False,True,False,False,,3.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004539,5,8,productive_iteration,True,True,False,False,False,,4.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004540,10,11,productive_iteration,False,True,False,False,False,,2.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004541,13,20,productive_iteration,False,True,False,False,False,,8.0
StressFresh100,StressFresh100_T000002,f7c08093c9c75b605c329940f8e83cbbb7b29836226b1d96904fc564da3aee71,S0004542,21,70,unproductive_cycle,False,False,True,False,False,,50.0
StressFresh100,StressFresh100_T000003,88278ba9269cd4d5efbd26712106d393eb881c56870d8606eae1705d3c3ec68d,S0004543,9,10,unproductive_cycle,False,False,True,False,False,,2.0
StressFresh100,StressFresh100_T000003,88278ba9269cd4d5efbd26712106d393eb881c56870d8606eae1705d3c3ec68d,S0004544,11,12,productive_iteration,False,True,False,False,False,,2.0
StressFresh100,StressFresh100_T000004,35aab597f1e4b9f8d61871debaa6e4cc52c0a1965afd6bea6fcabf45c582c343,S0004545,0,7,productive_iteration,False,True,False,False,False,,8.0
StressFresh100,StressFresh100_T000004,35aab597f1e4b9f8d61871debaa6e4cc52c0a1965afd6bea6fcabf45c582c343,S0004546,10,19,productive_iteration,False,True,False,False,False,,10.0
StressFresh100,StressFresh100_T000004,35aab597f1e4b9f8d61871debaa6e4cc52c0a1965afd6bea6fcabf45c582c343,S0004547,21,26,productive_iteration,True,True,False,False,False,,6.0
StressFresh100,StressFresh100_T000004,35aab597f1e4b9f8d61871debaa6e4cc52c0a1965afd6bea6fcabf45c582c343,S0004548,28,32,productive_iteration,False,True,False,False,False,,5.0
StressFresh100,StressFresh100_T000005,f2c90e9810fed1bc40c2b8dcafd192a64d5366e8d60e71e5d83e9069a92d0cf6,S0004549,0,2,productive_iteration,False,True,False,False,False,,3.0
