dataset,public_trajectory_id,original_trajectory_sha256,step_index,step_label,step_span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,0,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,1,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,2,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,3,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,4,stagnant,none,False,False,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,5,stagnant,unproductive_cycle,False,False,True,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,6,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,7,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,8,productive,productive_iteration,False,True,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,9,stagnant,unproductive_cycle,False,False,True,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,10,stagnant,none,False,False,False,False,False,
StressFresh100,StressFresh100_T000017,db7a465d0ba6b04f62c89985b3af6a3c3ef03c24d5fd240011fedf88c8b1e450,11,stagnant,none,False,False,False,False,False,
StressFresh100,StressFresh100_T000030,1d58fd0d991c54f30c3a04bc2160884f3e620897d319a88d7f2dc1602ee440de,0,productive,none,False,False,False,False,False,
StressFresh100,StressFresh100_T000030,1d58fd0d991c54f30c3a04bc2160884f3e620897d319a88d7f2dc1602ee440de,1,productive,none,False,False,False,False,False,
StressFresh100,StressFresh100_T000030,1d58fd0d991c54f30c3a04bc2160884f3e620897d319a88d7f2dc1602ee440de,2,productive,none,False,False,False,False,False,
