dataset,dataset_role,public_trajectory_id,original_trajectory_sha256,source_family,trajectory_length,top_10pct_longest_global,top_10pct_longest_within_dataset,pi_density,hn_density,uc_density,has_pi,has_hn,has_uc,pi_step_count,hn_step_count,uc_step_count,pi_projected_step_count,hn_projected_step_count,uc_projected_step_count
Natural500,natural-distribution control,Natural500_T000001,f1326d59ca2fef87cb0fccd123b0f766a93d7ed72f537ac45a5e92dfc7f3eb44,SWE-agent datasets,13,False,False,0.9230769230769231,0.3076923076923077,0.0,True,True,False,12,4,0,12,4,0
Natural500,natural-distribution control,Natural500_T000002,1825eb753b89930ee706614d23d1a25654eeb25448f73e04f26cdc0f8f306095,SWE-agent datasets,9,False,False,1.0,0.0,0.0,True,False,False,8,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000003,d285e5627e673149dc7a1fff135571251d9f93244cd852b43626f21af865d5b9,SWE-agent datasets,13,False,False,0.9230769230769231,0.0,0.0,True,False,False,12,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000004,42c4bd06ec5bfa1f6ee6af35adc79c8adde0a1fc376597a460063e670883f23d,SWE-agent datasets,13,False,False,0.7692307692307693,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000005,ab97560f8d220941d7f425e2577890be1210b35acb70a0afd21d6331096b8ae8,SWE-agent datasets,19,False,False,0.7894736842105263,0.0,0.0,True,False,False,15,0,0,15,0,0
Natural500,natural-distribution control,Natural500_T000006,64616f21ef2dbb6a43010505f9807bb2de8f1fbb6d8f46a4b51cafb44eb95d04,SWE-agent datasets,12,False,False,0.8333333333333334,0.0,0.0,True,False,False,9,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000007,0400dae36d9679d36453ef887003e3129d9460d19aefa5a9dc5959404a882994,SWE-agent datasets,14,False,False,0.5,0.0,0.07142857142857142,True,False,True,7,0,1,7,0,1
Natural500,natural-distribution control,Natural500_T000008,6df96cb6ddd2aad92e7afdd1ef1c681b88b6745e996bd063e922347fdc4023c8,SWE-agent datasets,46,False,True,0.34782608695652173,0.1956521739130435,0.4782608695652174,True,True,True,14,4,22,16,9,22
Natural500,natural-distribution control,Natural500_T000009,d957f88f866a604e238ef9db7a0c7b1f2c02f6068ad5ea2db342adcae9b7af15,SWE-agent datasets,15,False,False,0.0,0.0,1.0,False,False,True,0,0,15,0,0,15
Natural500,natural-distribution control,Natural500_T000010,8d66651ed7b3ab4f419a084152a6671e469c17282374c18d792bb9bcecca8ffc,SWE-agent datasets,6,False,False,0.3333333333333333,0.3333333333333333,0.0,True,True,False,2,1,0,2,2,0
Natural500,natural-distribution control,Natural500_T000011,0ce822459e0919e12883bb4a4bfdcd56c59e41726d94120dd6ad53d35fca34ac,SWE-agent datasets,8,False,False,0.5,0.0,0.375,True,False,True,4,0,3,4,0,3
Natural500,natural-distribution control,Natural500_T000012,66bb99ae2a174277b13814806ce66e27114755977d26d6c49227f98e4a86a3c0,SWE-agent datasets,9,False,False,0.8888888888888888,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000013,ec5c094e6e5db82530d91aa3b8619bc7f66fd8b8a7474e50f28f16115ae1b31f,SWE-agent datasets,6,False,False,1.0,0.0,0.0,True,False,False,5,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000014,4cb7b62e0126aca52fe8b209dc0ec5ba3243d5a6a228f27a87d6f87011de8123,SWE-agent datasets,9,False,False,0.8888888888888888,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000015,79a2a8a21dcbaf876c6dccbc63c6394288dd73f317970af86e99974c8eb113f7,SWE-agent datasets,18,False,False,1.0,0.7222222222222222,0.0,True,True,False,18,2,0,18,13,0
Natural500,natural-distribution control,Natural500_T000016,290e272dd4cd437ee0134b7ffe4d15d5a9a77fc403eca9313fa4628c2ed398d6,SWE-agent datasets,15,False,False,0.8,0.4,0.0,True,True,False,12,4,0,12,6,0
Natural500,natural-distribution control,Natural500_T000017,03f22ddc68f0510dda335c705fa8ed9e9b70373757a3dd18ab789cd537be1645,SWE-agent datasets,12,False,False,1.0,0.0,0.0,True,False,False,11,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000018,7ea5a82546b68fa8bf05b79f38752f82cac8885691e9891de5ce8af4a6a211f0,SWE-agent datasets,27,False,False,1.0,0.7407407407407407,0.4074074074074074,True,True,True,16,5,6,27,20,11
Natural500,natural-distribution control,Natural500_T000019,5a633ad1598dd4c94f07d8863c17a17794bb5ea5223c711eb1bac60eea4c0b31,SWE-agent datasets,26,False,False,0.6538461538461539,0.0,0.11538461538461539,True,False,True,17,0,3,17,0,3
Natural500,natural-distribution control,Natural500_T000020,f722802af6f64bcaa307bdfd6ae670b6929041503a10d06c0cf2a4e935b0d547,SWE-agent datasets,13,False,False,0.8461538461538461,0.3076923076923077,0.0,True,True,False,11,3,0,11,4,0
Natural500,natural-distribution control,Natural500_T000021,9ae6cfc30362794be4443c03a9eda58dd22fe1ff83a94329da6e29b897c1d52c,SWE-agent datasets,7,False,False,1.0,1.0,0.0,True,True,False,6,1,0,7,7,0
Natural500,natural-distribution control,Natural500_T000022,0a4ab49382310d4e35814beb6e7374228a532ca5c102c96c40cd14b8dbd676f0,SWE-agent datasets,17,False,False,0.47058823529411764,0.0,0.6470588235294118,True,False,True,8,0,9,8,0,11
Natural500,natural-distribution control,Natural500_T000023,0a87667b9e354b54a762a76287677eb45be3326b2f1a488873c4864faaed6a04,SWE-agent datasets,7,False,False,0.8571428571428571,0.0,0.0,True,False,False,5,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000024,1afdbba83e961fef7b418a0de42a784789f47e5d78d6ecd26be5d839ae0c68c8,SWE-agent datasets,7,False,False,0.42857142857142855,0.0,0.0,True,False,False,3,0,0,3,0,0
Natural500,natural-distribution control,Natural500_T000025,06d478bb8a58ac82a2a2c914f4be9c5b73d93f7abdbc9b3b8a8bbea01c7acc3a,SWE-agent datasets,9,False,False,0.7777777777777778,0.4444444444444444,0.0,True,True,False,7,2,0,7,4,0
Natural500,natural-distribution control,Natural500_T000026,717eccbc496cce5c2fcb86409f19153395e151603ec019c215112c18aba973db,SWE-agent datasets,9,False,False,1.0,0.0,0.0,True,False,False,9,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000027,949149d5367c4f2d86147ec9171f1908fed0bb003aa0399c55312a974aedb9d7,SWE-agent datasets,14,False,False,0.7857142857142857,0.0,0.21428571428571427,True,False,True,11,0,3,11,0,3
Natural500,natural-distribution control,Natural500_T000028,6f58313a553730119335a3e5d804247ccf273cc6566348ce943ea72d25da989c,SWE-agent datasets,12,False,False,0.9166666666666666,0.5,0.0,True,True,False,11,3,0,11,6,0
Natural500,natural-distribution control,Natural500_T000029,943fbd3501b0b3e966940a52db76370cd84d7b39980b3b4e84565d96fb21e93a,SWE-agent datasets,6,False,False,1.0,1.0,0.0,True,True,False,5,1,0,6,6,0
Natural500,natural-distribution control,Natural500_T000030,4751602520053ccf36350625edab76ac965eb287b8631af64de2190164d7ddaa,SWE-agent datasets,13,False,False,0.7692307692307693,0.0,0.23076923076923078,True,False,True,9,0,3,10,0,3
Natural500,natural-distribution control,Natural500_T000031,ca815bb513c3ddb5baa1e567525cab561c5ed1524a07878d4ca7f6fb13257321,SWE-agent datasets,7,False,False,0.42857142857142855,0.0,0.0,True,False,False,3,0,0,3,0,0
Natural500,natural-distribution control,Natural500_T000032,9e465c43b099feeeccbbd196deb6df59c867bd64387028cbeaff7d7047c185ba,SWE-agent datasets,12,False,False,0.9166666666666666,0.0,0.0,True,False,False,11,0,0,11,0,0
Natural500,natural-distribution control,Natural500_T000033,795c867ba0125b702b2b5d8b4563931d2297729c2f7ec17d71acc0b7473b5f12,SWE-agent datasets,11,False,False,0.7272727272727273,0.45454545454545453,0.0,True,True,False,8,1,0,8,5,0
Natural500,natural-distribution control,Natural500_T000034,63ad54e15f17c0670fe76a52891bcf5ed3bcc2c6cfd91201d72115146d647f68,SWE-agent datasets,15,False,False,0.8,0.5333333333333333,0.0,True,True,False,9,2,0,12,8,0
Natural500,natural-distribution control,Natural500_T000035,9f25a4131680d90449c9c8f6a25ff0a1aa2c2076b066ac881d5690fea1c0189f,SWE-agent datasets,13,False,False,0.5384615384615384,0.07692307692307693,0.15384615384615385,True,True,True,7,1,2,7,1,2
Natural500,natural-distribution control,Natural500_T000036,465943517bec156055cfafe0143322aa7e8ea1fecbd27a8bf6f7e8e33b0d40ca,SWE-agent datasets,10,False,False,0.6,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000037,b5e970654350c518f28f9ce831afdfeb4688ab4083d88698f24a29006540eedf,SWE-agent datasets,10,False,False,0.9,0.0,0.0,True,False,False,9,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000038,e4e366e1fee168b7010cb12557c70c71841fe9b05cd56d8053b6e5cfc9a09404,SWE-agent datasets,6,False,False,0.0,0.0,0.8333333333333334,False,False,True,0,0,5,0,0,5
Natural500,natural-distribution control,Natural500_T000039,0852ec7e5e31eadc95d77f9a812a520b5551b4e2aa575dcb26a966f42c065014,SWE-agent datasets,11,False,False,0.7272727272727273,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000040,06907df4b7ea5eacc1eebd4ea5b2c1120e4320641edba235f1ed43215f95f41c,SWE-agent datasets,15,False,False,0.7333333333333333,0.06666666666666667,0.0,True,True,False,11,1,0,11,1,0
Natural500,natural-distribution control,Natural500_T000041,208557a61b5a54745670f964c3b9bf3bd61f29ad558a422365ad215c03d93190,SWE-agent datasets,13,False,False,0.9230769230769231,0.0,0.0,True,False,False,11,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000042,1840d2e3cf60768be51e9f9522f32408fa7aa1b50fea459cf6ff59d4498c269f,SWE-agent datasets,11,False,False,1.0,1.0,0.0,True,True,False,11,1,0,11,11,0
Natural500,natural-distribution control,Natural500_T000043,84e76cb34293bd3fb16a512a51930b92245219d0069bdd2ee3520fb088abe880,SWE-agent datasets,14,False,False,0.7857142857142857,0.21428571428571427,0.0,True,True,False,11,1,0,11,3,0
