dataset,public_trajectory_id,original_trajectory_sha256,public_span_id,start_step_index,end_step_index,span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence,step_count
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000001,64,104,unproductive_cycle,False,False,True,False,False,,5.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000002,0,9,productive_iteration,False,True,False,False,False,,10.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000003,11,15,productive_iteration,False,True,False,False,False,,4.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000004,67,71,unproductive_cycle,False,False,True,False,False,,5.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000005,99,103,productive_iteration,False,True,False,False,False,,4.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000006,99,103,unproductive_cycle,False,False,True,False,False,,1.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000007,105,107,unproductive_cycle,False,False,True,False,False,,3.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000008,16,63,unproductive_cycle,False,False,True,False,False,,48.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000009,72,82,unproductive_cycle,False,False,True,False,False,,11.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000010,84,98,unproductive_cycle,False,False,True,False,False,,15.0
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,S0000011,108,151,unproductive_cycle,False,False,True,False,False,,44.0
Final500,Final500_T000002,4789bee07da8162f0959129a476e1d3fa9bea3adba2214d9228465e815f5cb06,S0000012,14,18,productive_iteration,False,True,False,False,False,,5.0
