dataset,public_trajectory_id,original_trajectory_sha256,step_index,step_label,step_span_label,hard_negative,productive_iteration_flag,unproductive_cycle_flag,uncertain_flag,unresolved_flag,confidence
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,0,productive,productive_iteration,False,True,False,False,False,0.85
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,1,productive,productive_iteration,False,True,False,False,False,0.8
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,2,productive,productive_iteration,False,True,False,False,False,0.8
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,3,productive,productive_iteration,False,True,False,False,False,0.85
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,4,productive,productive_iteration,False,True,False,False,False,0.8
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,5,productive,productive_iteration,False,True,False,False,False,0.8
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,6,productive,productive_iteration,False,True,False,False,False,0.8
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,7,productive,productive_iteration,False,True,False,False,False,0.85
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,8,productive,productive_iteration,False,True,False,False,False,0.75
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,9,productive,productive_iteration,False,True,False,False,False,0.6
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,10,stagnant,none,False,False,False,False,False,0.85
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,11,productive,productive_iteration,False,True,False,False,False,0.7
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,12,productive,productive_iteration,False,True,False,False,False,0.75
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,13,stagnant,productive_iteration,False,True,False,False,False,0.9
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,14,productive,productive_iteration,False,True,False,False,False,0.6
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,15,productive,productive_iteration,False,True,False,False,False,0.75
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,16,stagnant,unproductive_cycle,False,False,True,False,False,0.9
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,17,stagnant,unproductive_cycle,False,False,True,False,False,0.9
Final500,Final500_T000001,2374de75b5eb951b8d8af6161dd3edba6058ff367f86ea1aaa2645e120253089,18,stagnant,unproductive_cycle,False,False,True,False,False,0.9
