artifact_relative_path,sha256,row_count,column_count,dataset_if_known,trajectory_count_if_derivable,step_count_if_derivable,span_count_if_derivable,trajectory_id_set_sha256_if_derivable,step_key_set_sha256_if_derivable,created_by_script_if_known,status
data/final_adjudicated/Natural500/step_labels.csv,0635cd15e0f1f561134cfaf3f852797759e7d38027df85a2ed0eb88ff57f74fb,8550,12,Natural500,500,8550,,b015bcca52c894f4577728775fa9c44a6eb21096fd8f62598ba2e1781af2370f,458a36b512af9c530e01cb4d3deb1d20b70b5b52c85aeb9850e28ebce70762e5,expected paper pipeline or release builder,PASS
data/final_adjudicated/Natural500/span_labels.csv,0befdd256bed6793de1262fd5e2a356842f29cc29554e942dc9ddde7c6b467ff,1251,14,Natural500,497,,1251,aeee6a98faadb5cab070265f9d462a584ad4bf95b03eac513ff101412d14ca5d,,expected paper pipeline or release builder,PASS
data/final_adjudicated/Final500/step_labels.csv,483721d13129b809d021f6e1c52f8b27fb72927c3d3c8fb955ec13c8424b5f15,26014,12,Final500,500,26014,,ce47522f1c28fafbe4b47fbe6e25dee2747cf2c1459101f556964d4b46b30a14,d48bd18e60bbae8af535a6743d4d91c64088dbc6074f42c3b906be7b3378b99c,expected paper pipeline or release builder,PASS
data/final_adjudicated/Final500/span_labels.csv,8f52a2082d886c1f3dbcdfd0a2593bd155a724bd65f9222dfd4a28257337ab19,2781,14,Final500,500,,2781,ce47522f1c28fafbe4b47fbe6e25dee2747cf2c1459101f556964d4b46b30a14,,expected paper pipeline or release builder,PASS
data/final_adjudicated/StressFresh100/step_labels.csv,422fb7d3f35779daf0ed54a955d5af7c28acc708d7099516c8673e4ae157791c,3132,12,StressFresh100,100,3132,,c2d9e18daf04884981ddd6a26a260bb0cafc072d4ab47f4ea57f5092d0e2c70e,db9618599de76f844b72356b10dccb1f99ba64d339e4125907132b57c3f77f41,expected paper pipeline or release builder,PASS
data/final_adjudicated/StressFresh100/span_labels.csv,651a14564fb5e84122d49726f790735b8989ef9e2d594088bd3603e114bd4ebe,449,14,StressFresh100,100,,449,c2d9e18daf04884981ddd6a26a260bb0cafc072d4ab47f4ea57f5092d0e2c70e,,expected paper pipeline or release builder,PASS
data/final_adjudicated/OpenHandsExternal330/step_labels.csv,39008b2a8fbe1aec08b6a477f76dd8bb9d321f1206792e54179de9ce8f38023f,51010,12,OpenHandsExternal330,330,51010,,e248e75a803c3b18e8fd91d0774cf7c84e110e8103acdc7bf3ca2f5c4dc7c84c,52645385d240ed0e6bb28ff1b759a0e6d414d8cc7c92415867524e75924933cc,expected paper pipeline or release builder,PASS
data/final_adjudicated/OpenHandsExternal330/span_labels.csv,d6c16edde0ebd5e68332eda31d51958a8da78c326a0cd924b9394e090151778a,501,14,OpenHandsExternal330,330,,501,e248e75a803c3b18e8fd91d0774cf7c84e110e8103acdc7bf3ca2f5c4dc7c84c,,expected paper pipeline or release builder,PASS
data/normalized/normalized_steps.csv,fb82eb5f16d95ccdd216fff18df9cb15f3ddc9b22f25acb9f389cd3846fc3aaf,88706,12,Final500;Natural500;OpenHandsExternal330;StressFresh100,1430,88706,,173096c3adb3cfbc5e3df6b92232e6a926d3180ff0146408447b2404e3590b7a,3a13c85d4d6d097f32ec7a1f2b64fa602133100f1b0e584f70d0fb6b527d9ef2,expected paper pipeline or release builder,PASS
data/normalized/normalized_spans.csv,32493351c04ebf9e652d69a30f4561139125d50568f497e427c6641d0d2d7430,4982,14,Final500;Natural500;OpenHandsExternal330;StressFresh100,1427,,4982,0a533528a652aa78663ac3a8127a15f226c2947b35155e3dc136e57363044cc0,,expected paper pipeline or release builder,PASS
outputs/expected/paper_tables/appendix_openhands_degenerate_near_f1_pairs.csv,17b25ea6795bbf55233cc88b6187ef8d0c65d0cc1689cc2989797548c80e5d73,10,13,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_tables/table1_evidence_pools.csv,52d65d7e716572cdbf3e8f1cd2613d2c3ffe2dd1632545b729c69eb3878b21b0,4,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_tables/table2_construct_non_equivalence.csv,29a3df2d00c1f3bb93fb0664c9ec21ec78da8b9b633f283b01841a03564dd3e1,4,8,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_tables/table3_focused_detector_risk_comparison.csv,49a1ed3caed1c270a51f6891356ff348fe527db8577ec0e11f17a21a8f8276d0,8,9,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/paper_tables/table4_near_f1_risk_divergence.csv,e877e5ae30c6ce8d7ee3d6abfd26999e57cd94f8b7617a3799ee4bdf860e3669,8,13,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/construct_mismatch/construct_prevalence_by_dataset.csv,ac58bd73a036bb028b3e8759227907483292c2d04c7e96f6697b13662dac30a0,4,15,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/construct_mismatch/length_vs_constructs.csv,8e6e67839f23a8050cc442ba21262031927cac1689f456ba8bd2c41da66a1c7b,1430,20,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,1430,,,ff954db1e6a4caaca88bd8db82addfbc7e311f0079bbc33285d0be495e6bb782,,expected paper pipeline or release builder,PASS
outputs/expected/length_robustness/excluding_openhands_longest_decile.csv,360d5c04921636a48ae429bfdeb72dad99e40f84dfeb8d117450351693ca18b4,2,19,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/length_robustness/length_construct_correlations.csv,4b48dadbcbbfd99e9e285ae7f0133286f54ce8699866c2d3c71eccaf0d585a5d,18,5,Enriched500;GlobalAllDatasets;GlobalExcludingOpenHands;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/length_robustness/length_robustness_summary.csv,1255e255f029c5f55c25fd956696a80344b52a0095e23e1eb1d06b82ea3ac4ea,12,20,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/length_robustness/within_dataset_longest_decile.csv,6470996364e9f14bf273da16f7e3eec59a86916af1477a608e25381d062a9b2a,8,19,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,6b980d934e3358587c9d3b6b17c666c0bcc667c605f87334b3803cb20901031c,384,9,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/detector_availability.csv,af8a35016cf57c29ab26e144644ac31a9c9b7b41655486258ab8e5ff61351649,36,7,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,4b725e28cdb5d3c8ecd904071802ff60b99c33aace940131df55b6015ed4ec4b,64,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/near_f1_risk_pairs.csv,15407c6ce92a2798c0a68852913ca888cedef16178e9976cae3ec3e4357a5f22,65,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/threshold_frontier_by_dataset.csv,4b725e28cdb5d3c8ecd904071802ff60b99c33aace940131df55b6015ed4ec4b,64,16,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_risk_rich_detectors/trigger_location_distribution.csv,0a8f21073bf2c5669dc2e49bb3fdc430059633756feb892c7e3b0ee0be19f493,232,6,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_near_f1_pairs.csv,cb0d250eb7cff0b2944145b6ae408cad6113201d00bc2b6fdc0b12e6f922bd72,60,20,Enriched500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,2df445755bea1e683aec454b583326acedf924bade019ffaedf95a4427c9df69,58,34,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_summary_by_location.csv,ffe9e447a95bbb53214b57d2c6386f0439f441366662e16668f3db9ec23a4efc,20,13,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/intervention_validation/stop_counterfactual_triggers.csv,1e999d103ef52b7b98a0d9ceb07f8753560997dc73922ad00d0ba4b31cbcc2a3,246856,30,Enriched500;Natural500;OpenHandsExternal330;StressFresh100,928,246856,,99a6de79bb8ba8e9ae91c9051a919c1c529dfa2419e8a72ea5a4b30a3b3b2f71,f48f5226624c312a28dfd7001aad4073dc28a0f00f0f185013897bad75c575f3,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_call_log.csv,781df1159ac8d670b88f1ffa6d12a279e788bfcf91d9a5568a7bf17392e39fa4,386,10,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,e822ef01f2cdbad3469a34932202eb776c589c6b8d7fd59742b2af6420535736,21,12,,,,,,,expected paper pipeline or release builder,PASS
outputs/expected/api_replan_intervention/api_replan_parsed_responses.csv,6a5e14b7dc4c66414459769ed63667da2c8b56e32acfe024b53a06c77d3b9b8c,360,24,,,,,,,expected paper pipeline or release builder,PASS
