prompt_id,released_prefix_id,arm,status,attempts,latency_seconds,prompt_tokens,completion_tokens,total_tokens,error
prompt_7b0d3cfe5df07fd6,released_prefix_196f53d622cafe09,NEUTRAL_CONTINUE,ok,1,7.3242,1816,670,2486,
prompt_1ccb6c351c6e401c,released_prefix_196f53d622cafe09,WARN_REPLAN,parse_failed,1,8.8581,1841,800,2641,
prompt_68ba5cb60d10ffcb,released_prefix_26041af09bd73d25,NEUTRAL_CONTINUE,parse_failed,1,8.7428,1894,800,2694,
prompt_ac2b1cc31cb54c96,released_prefix_26041af09bd73d25,WARN_REPLAN,parse_failed,1,9.4996,1939,800,2739,
prompt_d41bb54a4642cc76,released_prefix_4671ff0311855415,NEUTRAL_CONTINUE,parse_failed,1,9.5592,1773,800,2573,
prompt_4c9459bcc78a4deb,released_prefix_4671ff0311855415,WARN_REPLAN,parse_failed,1,9.0806,1818,800,2618,
prompt_2d3be4e6cd4cab3f,released_prefix_489327ce7ef93ee0,NEUTRAL_CONTINUE,ok,1,7.2063,1967,665,2632,
prompt_3611ed941dc1ace0,released_prefix_489327ce7ef93ee0,WARN_REPLAN,parse_failed,1,9.3662,1992,800,2792,
prompt_fbc5620442a427c0,released_prefix_a33652d5fd90754d,NEUTRAL_CONTINUE,ok,1,5.4301,2624,574,3198,
prompt_ae414dbd237e5a43,released_prefix_a33652d5fd90754d,WARN_REPLAN,parse_failed,1,7.9968,2649,800,3449,
prompt_1944a7f6b94c7daf,released_prefix_5ddf56121d77962e,NEUTRAL_CONTINUE,parse_failed,1,8.8191,1408,800,2208,
prompt_10248a15a07a4c21,released_prefix_5ddf56121d77962e,WARN_REPLAN,parse_failed,1,9.6963,1453,800,2253,
prompt_70bba2eb055084ae,released_prefix_d61345cb5a7cfe6e,NEUTRAL_CONTINUE,parse_failed,1,8.9137,2526,800,3326,
prompt_9b6aa3668b61974d,released_prefix_d61345cb5a7cfe6e,WARN_REPLAN,ok,1,7.8275,2591,638,3229,
prompt_804966efb32a3634,released_prefix_6be742b6bf4776ff,NEUTRAL_CONTINUE,parse_failed,1,10.1817,1372,800,2172,
