dataset,dataset_role,detector,detector_family,threshold/config,uses_annotation_signal_proxy,F1,UC_recall,PIIR,HN_FPR,burden,latency_mean,latency_median,latency_p90,n_triggers,positive_label_definition
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=25,False,0.7095946639302206,0.5063829787234042,0.0610236220472441,0.18395657418576597,0.19087719298245615,3.327731092436975,0.0,13.200000000000003,1632,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=50,False,0.4178272980501393,0.17872340425531916,0.004921259842519685,0.030156815440289506,0.07087719298245614,11.714285714285714,3.0,33.0,606,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=75,False,0.20356435643564355,0.09787234042553192,0.001968503937007874,0.009047044632086852,0.030292397660818714,26.130434782608695,29.0,61.2,259,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=100,False,0.08284023668639054,0.0425531914893617,0.0,0.0,0.011695906432748537,37.5,10.5,88.8,100,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=150,False,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Natural500,natural-distribution control,max_step_guard,max_step_guard,threshold=200,False,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=25,False,0.8332045034447992,0.8185328185328186,0.42349570200573067,0.4048741349914753,0.5853386637964173,1.5247641509433962,0.0,8.0,15227,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=50,False,0.7192307692307692,0.5260617760617761,0.101432664756447,0.11834319526627218,0.34104712846928575,6.374311926605505,0.0,29.600000000000023,8872,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=75,False,0.5002807698197969,0.33976833976833976,0.04756446991404011,0.04051750075218133,0.1945490889521027,17.673295454545453,0.0,57.0,5061,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=100,False,0.28769701246765467,0.15154440154440155,0.010315186246418338,0.010029084344599338,0.09517951872068886,29.420382165605094,2.0,83.0,2476,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=150,False,0.07167507300238916,0.037644787644787646,0.0017191977077363897,0.001303780964797914,0.020758053355885292,60.794871794871796,41.0,133.0,540,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,max_step_guard,max_step_guard,threshold=200,False,0.00013765572303668525,0.0009652509652509653,0.0,0.0,3.844083954793573e-05,145.0,145.0,145.0,1,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,exact_action_repeat_k,exact_action_repeat_k,k=2,False,0.24778655180665232,0.19787644787644787,0.08481375358166189,0.01574566242102096,0.08410855693088337,3.453658536585366,1.0,9.0,2188,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,exact_action_repeat_k,exact_action_repeat_k,k=3,False,0.20504595644932452,0.11293436293436293,0.028080229226361032,0.0038110520509477483,0.06469593295917583,6.264957264957265,2.0,12.0,1683,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,exact_action_repeat_k,exact_action_repeat_k,k=4,False,0.18604941352632892,0.07432432432432433,0.012607449856733524,0.0014040718082439074,0.057661259321903593,6.532467532467533,3.0,16.00000000000003,1500,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,action_observation_repeat_exact,action_observation_repeat,exact_pair_k=2,False,0.19782124288190145,0.12065637065637065,0.04011461318051576,0.007220940728111524,0.06258168678403936,3.296,1.0,7.0,1628,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.9,False,0.37012384745485294,0.44594594594594594,0.22177650429799428,0.05596229064286431,0.1461136311217037,2.883116883116883,1.0,7.0,3801,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.95,False,0.3172067549064354,0.34266409266409265,0.1512893982808023,0.029485507973122053,0.11532251864380719,3.3577464788732394,1.0,7.0,3000,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.98,False,0.27461384270722794,0.24613899613899615,0.08825214899713467,0.015845953264466955,0.09356500345967556,3.8,1.0,8.0,2434,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,error_signature_repeat_k,error_signature_repeat_k,k=2,False,0.1443089430894309,0.1438223938223938,0.07335243553008595,0.024069802427038413,0.046744060890289846,4.261744966442953,2.0,7.0,1216,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,error_signature_repeat_k,error_signature_repeat_k,k=3,False,0.11553423236514523,0.05888030888030888,0.018911174785100286,0.014742753986561026,0.03444299223495041,7.426229508196721,2.0,12.0,896,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,file_revisit_guard,file_revisit_guard,window=5;repeats=3,False,0.728715126209907,0.8426640926640927,0.5621776504297994,0.348711262661719,0.45425540093795647,0.9152348224513173,0.0,2.0,11817,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,file_revisit_guard,file_revisit_guard,window=5;repeats=5,False,0.6386081044816173,0.5916988416988417,0.2532951289398281,0.16858890783271488,0.30099177366033675,2.205546492659054,0.0,6.0,7830,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,file_revisit_guard,file_revisit_guard,window=10;repeats=3,False,0.7406460099386144,0.888996138996139,0.6234957020057307,0.40056162872329754,0.49358037979549474,0.740499457111835,0.0,2.0,12840,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,file_revisit_guard,file_revisit_guard,window=10;repeats=5,False,0.7214875370682055,0.7712355212355212,0.41489971346704874,0.2710861498345201,0.4007841931267779,1.1138923654568211,0.0,4.0,10426,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,repeat_without_progress_guard,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,False,0.1974834190789066,0.10424710424710425,0.019484240687679084,0.0028081436164878147,0.06169754747443684,6.666666666666667,2.0,13.0,1605,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,repeat_without_progress_guard,repeat_without_progress_guard,base=tool;k=3;progress=runtime,False,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,repeat_without_progress_guard,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,True,0.19348825649310303,0.10135135135135136,0.018911174785100286,0.0027078527730418213,0.06019835473206735,6.285714285714286,2.0,12.600000000000009,1566,step is inside an unproductive_cycle span or step-level unproductive_cycle region
Enriched500,enriched difficult loop-heavy set,repeat_without_progress_guard,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,True,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=25,False,0.7019230769230769,0.32460732984293195,0.20930232558139536,0.18376068376068377,0.3499361430395913,2.0806451612903225,0.0,6.899999999999999,1096,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=50,False,0.40068104426787743,0.07329842931937172,0.01937984496124031,0.0,0.11558109833971902,20.214285714285715,21.0,37.800000000000004,362,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=75,False,0.2131461391193363,0.015706806282722512,0.0,0.0,0.05332056194125159,48.333333333333336,49.0,57.8,167,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=100,False,0.12709030100334448,0.010471204188481676,0.0,0.0,0.03033205619412516,73.0,73.0,82.6,95,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=150,False,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,max_step_guard,max_step_guard,threshold=200,False,0.0,0.0,0.0,0.0,0.0,,,,0,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,exact_action_repeat_k,exact_action_repeat_k,k=2,False,0.348993288590604,0.2356020942408377,0.11627906976744186,0.09401709401709402,0.12388250319284802,1.2222222222222223,1.0,2.0,388,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,exact_action_repeat_k,exact_action_repeat_k,k=3,False,0.3071512309495897,0.13089005235602094,0.07364341085271318,0.0641025641025641,0.09770114942528736,2.12,2.0,3.6000000000000014,306,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,exact_action_repeat_k,exact_action_repeat_k,k=4,False,0.2865743527995184,0.09947643979057591,0.03875968992248062,0.038461538461538464,0.08333333333333333,2.736842105263158,3.0,3.0,261,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_repeat_k,tool_repeat_k,k=2,False,0.5283326538931921,0.581151832460733,0.5155038759689923,0.24786324786324787,0.33620689655172414,1.1081081081081081,1.0,2.0,1053,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_repeat_k,tool_repeat_k,k=3,False,0.44641975308641973,0.29842931937172773,0.28294573643410853,0.13675213675213677,0.1995530012771392,1.4736842105263157,2.0,2.0,625,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_repeat_k,tool_repeat_k,k=4,False,0.41764080765143463,0.225130890052356,0.15891472868217055,0.06196581196581197,0.15389527458492977,2.3255813953488373,3.0,3.0,482,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_sequence_repeat,tool_sequence_repeat,window=2,False,0.5504183179216204,0.42408376963350786,0.3488372093023256,0.22863247863247863,0.2780970625798212,1.7407407407407407,2.0,3.0,871,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_sequence_repeat,tool_sequence_repeat,window=3,False,0.49562982005141387,0.2198952879581152,0.09689922480620156,0.05982905982905983,0.17401021711366538,3.2857142857142856,3.5,5.0,545,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,tool_sequence_repeat,tool_sequence_repeat,window=4,False,0.467733608673206,0.16753926701570682,0.11627906976744186,0.09188034188034189,0.171455938697318,3.1875,3.0,7.0,537,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,action_observation_repeat_exact,action_observation_repeat,exact_pair_k=2,False,0.2765826674861709,0.13612565445026178,0.0,0.0,0.07247765006385697,1.3076923076923077,1.0,2.0,227,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.9,False,0.3593582887700535,0.36649214659685864,0.28294573643410853,0.10042735042735043,0.1500638569604087,1.8285714285714285,1.0,4.100000000000001,470,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.95,False,0.32657657657657657,0.29842931937172773,0.19767441860465115,0.07905982905982906,0.12005108556832694,2.1403508771929824,1.0,4.399999999999999,376,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,action_observation_similarity,action_observation_similarity,tfidf_adjacent>=0.98,False,0.3159117305458769,0.2513089005235602,0.12015503875968993,0.042735042735042736,0.10280970625798212,1.9375,1.0,4.300000000000004,322,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,error_signature_repeat_k,error_signature_repeat_k,k=2,False,0.31420289855072464,0.23036649214659685,0.1434108527131783,0.049145299145299144,0.10376756066411238,1.5681818181818181,1.0,2.0,325,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,error_signature_repeat_k,error_signature_repeat_k,k=3,False,0.26370918052988296,0.10471204188481675,0.023255813953488372,0.01282051282051282,0.07120051085568327,2.2,2.0,3.0,223,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,file_revisit_guard,file_revisit_guard,window=5;repeats=3,False,0.6436781609195402,0.9476439790575916,0.8449612403100775,0.7670940170940171,0.7196679438058748,0.287292817679558,0.0,1.0,2254,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,file_revisit_guard,file_revisit_guard,window=5;repeats=5,False,0.6330243734981119,0.6596858638743456,0.5891472868217055,0.5192307692307693,0.4830779054916986,1.0317460317460319,0.0,3.0,1513,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,file_revisit_guard,file_revisit_guard,window=10;repeats=3,False,0.652127659574468,0.9581151832460733,0.8682170542635659,0.7970085470085471,0.7535121328224776,0.26229508196721313,0.0,1.0,2360,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,file_revisit_guard,file_revisit_guard,window=10;repeats=5,False,0.657315906917437,0.7486910994764397,0.689922480620155,0.5918803418803419,0.5545977011494253,0.8601398601398601,0.0,2.0,1737,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,repeat_without_progress_guard,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,False,0.2562189054726368,0.09947643979057591,0.003875968992248062,0.0,0.06641123882503193,3.3684210526315788,2.0,5.199999999999999,208,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,repeat_without_progress_guard,repeat_without_progress_guard,base=tool;k=3;progress=runtime,False,0.2732307692307692,0.14136125654450263,0.003875968992248062,0.0,0.07183908045977011,7.074074074074074,2.0,17.60000000000002,225,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,repeat_without_progress_guard,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,True,0.2562189054726368,0.09947643979057591,0.003875968992248062,0.0,0.06641123882503193,3.3684210526315788,2.0,5.199999999999999,208,step is inside an unproductive_cycle span or step-level unproductive_cycle region
StressFresh100,clean stress challenge,repeat_without_progress_guard,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,True,0.2732307692307692,0.14136125654450263,0.003875968992248062,0.0,0.07183908045977011,7.074074074074074,2.0,17.60000000000002,225,step is inside an unproductive_cycle span or step-level unproductive_cycle region
OpenHandsExternal330,external long-horizon generalization set,max_step_guard,max_step_guard,threshold=25,False,0.0028735632183908046,1.0,1.0,1.0,0.844736326210547,0.0,0.0,0.0,43090,step is inside an unproductive_cycle span or step-level unproductive_cycle region
