dataset,construct,density_column,spearman_rho,trajectory_count
Natural500,UC,uc_density,0.5373884940445856,500
Natural500,HN,hn_density,0.31772952591097,500
Natural500,PI,pi_density,-0.2437820445320352,500
Enriched500,UC,uc_density,0.6892564458194143,500
Enriched500,HN,hn_density,-0.017672465010775747,500
Enriched500,PI,pi_density,-0.5906012347530648,500
StressFresh100,UC,uc_density,0.5129637459226744,100
StressFresh100,HN,hn_density,-0.10080664831541468,100
StressFresh100,PI,pi_density,-0.005789981286057274,100
OpenHandsExternal330,UC,uc_density,-0.0026933136970940636,330
OpenHandsExternal330,HN,hn_density,0.4480513433370198,330
OpenHandsExternal330,PI,pi_density,0.6197398680311912,330
GlobalAllDatasets,UC,uc_density,0.1687934777866431,1430
GlobalAllDatasets,HN,hn_density,0.02496606268085693,1430
GlobalAllDatasets,PI,pi_density,-0.40389380435751693,1430
GlobalExcludingOpenHands,UC,uc_density,0.6672382611664149,1100
GlobalExcludingOpenHands,HN,hn_density,0.39885888680253306,1100
GlobalExcludingOpenHands,PI,pi_density,-0.2810487217708174,1100
