comparison,selection_scope,selection_rule,length_threshold,trajectory_count,mean_length,median_length,p90_length,min_length,max_length,contains_uc_count,contains_uc_pct,contains_hn_count,contains_hn_pct,contains_pi_count,contains_pi_pct,mean_uc_density,mean_hn_density,mean_pi_density,analysis
global_top_10pct_longest,all_datasets,existing top_10pct_longest_global flag from construct-mismatch pipeline,175.0,144,195.54166666666666,201.0,201.0,175,201,12,0.08333333333333333,55,0.3819444444444444,144,1.0,0.0654043811635166,0.06045510769420681,0.6703025502447053,global_longest_decile
global_remaining_90pct,all_datasets,existing top_10pct_longest_global flag from construct-mismatch pipeline,175.0,1286,47.082426127527214,26.0,125.0,6,173,499,0.3880248833592535,593,0.46111975116640747,1268,0.9860031104199067,0.19846120301610115,0.24771658644848085,0.7127196916825576,global_longest_decile
excluding_openhands_top_10pct_longest,all_except_OpenHandsExternal330,"trajectory_length >= non-OpenHands 90th percentile, ties retained",87.0,113,119.94690265486726,112.0,163.8,87,200,110,0.9734513274336283,88,0.7787610619469026,112,0.9911504424778761,0.7947090988258844,0.23996574457968317,0.3746380283600406,excluding_openhands_longest_decile
excluding_openhands_remaining_90pct,all_except_OpenHandsExternal330,"trajectory_length >= non-OpenHands 90th percentile, ties retained",87.0,987,24.45997973657548,17.0,48.0,6,86,397,0.4022289766970618,510,0.5167173252279635,971,0.983789260385005,0.17668587029289326,0.2956051148056051,0.7805563938033683,excluding_openhands_longest_decile
Natural500_within_dataset_top_10pct_longest,Natural500,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,31.0,50,54.84,46.5,90.0,31,140,48,0.96,38,0.76,50,1.0,0.5246393085811083,0.32458280330368317,0.5136105143242498,within_dataset_longest_decile
Natural500_within_dataset_remaining,Natural500,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,31.0,450,12.906666666666666,11.5,21.0,6,30,86,0.19111111111111112,127,0.2822222222222222,442,0.9822222222222222,0.0738568972447875,0.13199059989334855,0.7921481314410362,within_dataset_longest_decile
Enriched500_within_dataset_top_10pct_longest,Enriched500,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,112.0,52,145.32692307692307,140.5,193.29999999999998,112,200,52,1.0,40,0.7692307692307693,51,0.9807692307692307,0.8529517385423594,0.1517391796006671,0.2906025939781341,within_dataset_longest_decile
Enriched500_within_dataset_remaining,Enriched500,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,112.0,448,41.198660714285715,34.0,88.0,8,111,239,0.5334821428571429,347,0.7745535714285714,448,1.0,0.2845992159224192,0.48550406093826,0.8320098095271382,within_dataset_longest_decile
StressFresh100_within_dataset_top_10pct_longest,StressFresh100,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,56.0,10,83.6,69.0,146.1,56,147,10,1.0,5,0.5,9,0.9,0.7489376769754947,0.03935850495548374,0.22693013117150942,within_dataset_longest_decile
StressFresh100_within_dataset_remaining,StressFresh100,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,56.0,90,25.511111111111113,24.0,43.10000000000001,8,55,72,0.8,41,0.45555555555555555,83,0.9222222222222223,0.28200218944443706,0.19404028493683742,0.449722690635491,within_dataset_longest_decile
OpenHandsExternal330_within_dataset_top_10pct_longest,OpenHandsExternal330,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,201.0,85,201.0,201.0,201.0,201,201,1,0.011764705882352941,35,0.4117647058823529,85,1.0,0.0004682470002926541,0.0677787532923617,0.7081650570676031,within_dataset_longest_decile
OpenHandsExternal330_within_dataset_remaining,OpenHandsExternal330,existing top_10pct_longest_within_dataset flag from construct-mismatch pipeline,201.0,245,138.46938775510205,137.0,186.2,69,200,3,0.012244897959183673,15,0.061224489795918366,244,0.9959183673469387,0.0016671625502738098,0.010732629388673696,0.5720155224475566,within_dataset_longest_decile
