released_task_id,arm,run_id,status,model,runner,task_source,traceability_level,start_time,end_time,wall_clock,steps,tokens_input,tokens_output,estimated_cost,guard_triggered,trigger_step,trigger_count,stop_reason,oracle_available,resolved,tests_pass,patch_generated,repeated_file_count,repeated_tool_count,repeated_file_rate,repeated_tool_rate,unique_files_touched,error_summary
released_task_91c97ead817eaeb2,NO_GUARD,bf91d7c72c97,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T02:56:55Z,2026-06-15T02:57:21Z,26.515,10,77829,2046,0.0,True,3.0,8,step_or_cost_limit,False,,,False,9,9,0.9,0.9,1,
released_task_91c97ead817eaeb2,WARN_REPLAN_GUARD,a0b3730fa1a5,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T02:57:22Z,2026-06-15T02:58:08Z,45.355,10,90618,3759,0.0,True,3.0,4,step_or_cost_limit,False,,,False,6,12,0.461538,0.923077,8,
released_task_b056a515a3adbd70,NO_GUARD,ca0bcc6c263a,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T02:58:09Z,2026-06-15T02:58:32Z,23.529,10,61451,1793,0.0,True,9.0,1,step_or_cost_limit,False,,,False,4,13,0.285714,0.928571,10,
released_task_b056a515a3adbd70,WARN_REPLAN_GUARD,3e2432a60066,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T02:58:33Z,2026-06-15T03:00:03Z,89.739,10,48450,1572,0.0,True,7.0,4,step_or_cost_limit,False,,,False,6,12,0.461538,0.923077,9,
released_task_91c97ead817eaeb2,HARD_STOP_GUARD,1b3a7845c4c2,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:01:43Z,2026-06-15T03:01:53Z,9.929,3,12893,632,0.0,True,3.0,1,hard_stop_guard,False,,,False,2,2,0.666667,0.666667,1,
released_task_b056a515a3adbd70,HARD_STOP_GUARD,14c92c0b196e,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:01:54Z,2026-06-15T03:02:11Z,16.144,8,38404,1023,0.0,True,8.0,1,hard_stop_guard,False,,,False,9,14,0.6,0.933333,6,
released_task_56bf2e9790e1ec72,NO_GUARD,1673dc97a75c,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:02:12Z,2026-06-15T03:04:21Z,129.901,10,42238,1493,0.0,True,10.0,1,step_or_cost_limit,False,,,False,5,7,0.5,0.7,6,
released_task_56bf2e9790e1ec72,WARN_REPLAN_GUARD,b18b25babe14,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:04:22Z,2026-06-15T03:04:55Z,32.595,10,34650,1140,0.0,True,4.0,2,step_or_cost_limit,False,,,False,3,9,0.3,0.9,7,
released_task_56bf2e9790e1ec72,HARD_STOP_GUARD,64f2fb6056cc,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:04:56Z,2026-06-15T03:05:04Z,7.855,4,10310,563,0.0,True,4.0,1,hard_stop_guard,False,,,False,2,2,0.5,0.5,2,
released_task_df63832860780fe0,NO_GUARD,9cb3c1e63004,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:05:05Z,2026-06-15T03:06:46Z,101.247,10,47908,3503,0.0,True,5.0,2,step_or_cost_limit,False,,,False,5,10,0.416667,0.833333,8,
