released_task_id,benchmark_instance_id,repo,base_commit,task_source,paper_pool_display,historical_group,traceability_level,selected_for_run,selection_reason,estimated_runtime,notes,docker_image
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,dd69361a0d9c6ccde0d2353b00b86e0e7541a3e3,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,selected_verified_because_dataset_loaded,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11578:latest
released_task_b056a515a3adbd70,pydata__xarray-3095,pydata/xarray,1757dffac2fa493d7b9a074b84cf8c830a706688,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-3095:latest
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,pytest-dev/pytest,8aba863a634f40560e25055d179220f0eefabe9a,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-5809:latest
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,sphinx-doc/sphinx,27ac10de04697e2372d31db5548e56a7c6d9265d,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7910:latest
released_task_5e850f2d21dabd70,django__django-11477,django/django,e28671187903e6aca2428374fdd504fca3032aee,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11477:latest
released_task_7e04a501679a132a,django__django-16032,django/django,0c3981eb5094419fe200eb46c71b5376a2266166,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16032:latest
released_task_62e1a300553b00f6,django__django-15814,django/django,5eb6a2b33d70b9889e1cafa12594ad6f80773d3a,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15814:latest
released_task_d0c764a7cfe98bbb,django__django-15503,django/django,859a87d873ce7152af73ab851653b4e1c3ffea4c,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15503:latest
released_task_dfa98b4dcdc90f6b,django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11133:latest
released_task_6f4886a7683a7987,pydata__xarray-4966,pydata/xarray,37522e991a32ee3c0ad1a5ff8afe8e3eb1885550,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4966:latest
released_task_f7656944fa46c5cd,django__django-12754,django/django,18759b2209ff556aed7f20d83cbf23e3d234e41c,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12754:latest
released_task_34f0eda326d9b62e,django__django-15022,django/django,e1d673c373a7d032060872b690a92fc95496612e,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15022:latest
released_task_a66062ecd2a73e1b,pydata__xarray-7229,pydata/xarray,3aa75c8d00a4a2d4acf10d80f76b937cadb666b7,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-7229:latest
released_task_8b893a87713ebd6d,pydata__xarray-6938,pydata/xarray,c4e40d991c28be51de9ac560ce895ac7f9b14924,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-6938:latest
released_task_6c4107394026fd81,scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,553b5fb8f84ba05c8397f26dd079deece2b05029,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11310:latest
released_task_9e9a2e8a8e602bb3,pydata__xarray-3677,pydata/xarray,ef6e6a7b86f8479b9a1fecf15ad5b88a2326b31e,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-3677:latest
released_task_0a99280355bfeb51,django__django-13568,django/django,ede9fac75807fe5810df66280a60e7068cc97e4a,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13568:latest
released_task_99bc6df058728d26,scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,9f0b959a8c9195d1b6e203f08b698e052b426ca9,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13124:latest
released_task_75953f0e9d547a21,django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12304:latest
released_task_1e60d4d20584f996,django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12708:latest
released_task_cb92f9ca5782bc55,sympy__sympy-13372,sympy/sympy,30379ea6e225e37833a764ac2da7b7fadf5fe374,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-13372:latest
