released_task_id,benchmark_instance_id,selected_order,arm,run_needed,existing_status,reason
released_task_790aa72b63479f0d,django__django-11138,31,NO_GUARD,True,,missing_extension_row
released_task_790aa72b63479f0d,django__django-11138,31,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_790aa72b63479f0d,django__django-11138,31,HARD_STOP_GUARD,True,,missing_extension_row
released_task_e0fc0264ae28642d,scikit-learn__scikit-learn-13439,32,NO_GUARD,True,,missing_extension_row
released_task_e0fc0264ae28642d,scikit-learn__scikit-learn-13439,32,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_e0fc0264ae28642d,scikit-learn__scikit-learn-13439,32,HARD_STOP_GUARD,True,,missing_extension_row
released_task_8fd6e55bdee766f4,sympy__sympy-16792,33,NO_GUARD,True,,missing_extension_row
released_task_8fd6e55bdee766f4,sympy__sympy-16792,33,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_8fd6e55bdee766f4,sympy__sympy-16792,33,HARD_STOP_GUARD,True,,missing_extension_row
released_task_c77d8a4dcc11bb0a,scikit-learn__scikit-learn-13135,34,NO_GUARD,True,,missing_extension_row
released_task_c77d8a4dcc11bb0a,scikit-learn__scikit-learn-13135,34,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_c77d8a4dcc11bb0a,scikit-learn__scikit-learn-13135,34,HARD_STOP_GUARD,True,,missing_extension_row
released_task_55b2031312bdb4bf,django__django-15368,35,NO_GUARD,True,,missing_extension_row
released_task_55b2031312bdb4bf,django__django-15368,35,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_55b2031312bdb4bf,django__django-15368,35,HARD_STOP_GUARD,True,,missing_extension_row
released_task_12d4bb2102dc2f56,matplotlib__matplotlib-20826,36,NO_GUARD,True,,missing_extension_row
released_task_12d4bb2102dc2f56,matplotlib__matplotlib-20826,36,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_12d4bb2102dc2f56,matplotlib__matplotlib-20826,36,HARD_STOP_GUARD,True,,missing_extension_row
released_task_a919c7a583ab5954,django__django-11206,37,NO_GUARD,True,,missing_extension_row
released_task_a919c7a583ab5954,django__django-11206,37,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_a919c7a583ab5954,django__django-11206,37,HARD_STOP_GUARD,True,,missing_extension_row
released_task_cab2f650d91f6374,scikit-learn__scikit-learn-10844,38,NO_GUARD,True,,missing_extension_row
released_task_cab2f650d91f6374,scikit-learn__scikit-learn-10844,38,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_cab2f650d91f6374,scikit-learn__scikit-learn-10844,38,HARD_STOP_GUARD,True,,missing_extension_row
released_task_f45d0c7549f17baa,sympy__sympy-11618,39,NO_GUARD,True,,missing_extension_row
released_task_f45d0c7549f17baa,sympy__sympy-11618,39,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_f45d0c7549f17baa,sympy__sympy-11618,39,HARD_STOP_GUARD,True,,missing_extension_row
released_task_58ded97d74649fee,sphinx-doc__sphinx-8551,40,NO_GUARD,True,,missing_extension_row
released_task_58ded97d74649fee,sphinx-doc__sphinx-8551,40,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_58ded97d74649fee,sphinx-doc__sphinx-8551,40,HARD_STOP_GUARD,True,,missing_extension_row
released_task_6205c20339254394,django__django-13212,41,NO_GUARD,True,,missing_extension_row
released_task_6205c20339254394,django__django-13212,41,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_6205c20339254394,django__django-13212,41,HARD_STOP_GUARD,True,,missing_extension_row
released_task_47d55095abaa47f9,django__django-16661,42,NO_GUARD,True,,missing_extension_row
released_task_47d55095abaa47f9,django__django-16661,42,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_47d55095abaa47f9,django__django-16661,42,HARD_STOP_GUARD,True,,missing_extension_row
released_task_565e882d2900a39c,django__django-11734,43,NO_GUARD,True,,missing_extension_row
released_task_565e882d2900a39c,django__django-11734,43,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_565e882d2900a39c,django__django-11734,43,HARD_STOP_GUARD,True,,missing_extension_row
released_task_3f855a12db0ec3f4,astropy__astropy-13398,44,NO_GUARD,True,,missing_extension_row
released_task_3f855a12db0ec3f4,astropy__astropy-13398,44,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_3f855a12db0ec3f4,astropy__astropy-13398,44,HARD_STOP_GUARD,True,,missing_extension_row
released_task_c4961460689c63a7,django__django-12858,45,NO_GUARD,True,,missing_extension_row
released_task_c4961460689c63a7,django__django-12858,45,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_c4961460689c63a7,django__django-12858,45,HARD_STOP_GUARD,True,,missing_extension_row
released_task_013d7986c4fc8511,django__django-14053,46,NO_GUARD,True,,missing_extension_row
released_task_013d7986c4fc8511,django__django-14053,46,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_013d7986c4fc8511,django__django-14053,46,HARD_STOP_GUARD,True,,missing_extension_row
released_task_d8741bb288a4ade9,django__django-16256,47,NO_GUARD,True,,missing_extension_row
released_task_d8741bb288a4ade9,django__django-16256,47,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_d8741bb288a4ade9,django__django-16256,47,HARD_STOP_GUARD,True,,missing_extension_row
released_task_75ab04e6eb0a46d4,scikit-learn__scikit-learn-14894,48,NO_GUARD,True,,missing_extension_row
released_task_75ab04e6eb0a46d4,scikit-learn__scikit-learn-14894,48,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_75ab04e6eb0a46d4,scikit-learn__scikit-learn-14894,48,HARD_STOP_GUARD,True,,missing_extension_row
released_task_8add27b26abe316e,django__django-15104,49,NO_GUARD,True,,missing_extension_row
released_task_8add27b26abe316e,django__django-15104,49,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_8add27b26abe316e,django__django-15104,49,HARD_STOP_GUARD,True,,missing_extension_row
released_task_32a884cb9e7541b3,django__django-16263,50,NO_GUARD,True,,missing_extension_row
released_task_32a884cb9e7541b3,django__django-16263,50,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_32a884cb9e7541b3,django__django-16263,50,HARD_STOP_GUARD,True,,missing_extension_row
released_task_b31dca5c15fcb419,sympy__sympy-24443,51,NO_GUARD,True,,missing_extension_row
released_task_b31dca5c15fcb419,sympy__sympy-24443,51,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_b31dca5c15fcb419,sympy__sympy-24443,51,HARD_STOP_GUARD,True,,missing_extension_row
released_task_2dc760e50d035174,django__django-13741,52,NO_GUARD,True,,missing_extension_row
released_task_2dc760e50d035174,django__django-13741,52,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_2dc760e50d035174,django__django-13741,52,HARD_STOP_GUARD,True,,missing_extension_row
released_task_52c13e3266d4501c,pytest-dev__pytest-6197,53,NO_GUARD,True,,missing_extension_row
released_task_52c13e3266d4501c,pytest-dev__pytest-6197,53,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_52c13e3266d4501c,pytest-dev__pytest-6197,53,HARD_STOP_GUARD,True,,missing_extension_row
released_task_df968c962ec62163,django__django-14376,54,NO_GUARD,True,,missing_extension_row
released_task_df968c962ec62163,django__django-14376,54,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_df968c962ec62163,django__django-14376,54,HARD_STOP_GUARD,True,,missing_extension_row
released_task_c03acb33a56d22ef,django__django-14534,55,NO_GUARD,True,,missing_extension_row
released_task_c03acb33a56d22ef,django__django-14534,55,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_c03acb33a56d22ef,django__django-14534,55,HARD_STOP_GUARD,True,,missing_extension_row
released_task_5921987a268cd3bf,sphinx-doc__sphinx-10614,56,NO_GUARD,True,,missing_extension_row
released_task_5921987a268cd3bf,sphinx-doc__sphinx-10614,56,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_5921987a268cd3bf,sphinx-doc__sphinx-10614,56,HARD_STOP_GUARD,True,,missing_extension_row
released_task_10b7cdb276063e7b,pydata__xarray-4687,57,NO_GUARD,True,,missing_extension_row
released_task_10b7cdb276063e7b,pydata__xarray-4687,57,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_10b7cdb276063e7b,pydata__xarray-4687,57,HARD_STOP_GUARD,True,,missing_extension_row
released_task_814570b719cd62fd,pydata__xarray-7393,58,NO_GUARD,True,,missing_extension_row
released_task_814570b719cd62fd,pydata__xarray-7393,58,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_814570b719cd62fd,pydata__xarray-7393,58,HARD_STOP_GUARD,True,,missing_extension_row
released_task_710948da4ab7cfee,django__django-11951,59,NO_GUARD,True,,missing_extension_row
released_task_710948da4ab7cfee,django__django-11951,59,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_710948da4ab7cfee,django__django-11951,59,HARD_STOP_GUARD,True,,missing_extension_row
released_task_850aca790a4743d9,django__django-15252,60,NO_GUARD,True,,missing_extension_row
released_task_850aca790a4743d9,django__django-15252,60,WARN_REPLAN_GUARD,True,,missing_extension_row
released_task_850aca790a4743d9,django__django-15252,60,HARD_STOP_GUARD,True,,missing_extension_row
