released_task_id,benchmark_instance_id,arm,run_id,model_name_or_path,patch_generated,patch_bytes,changed_files_count,status,notes
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,NO_GUARD,68b4d298d9c9,deepseek-v4-flash,True,638,1,completed,Submitted
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,WARN_REPLAN_GUARD,6280b39fc286,deepseek-v4-flash,True,1083,2,completed,LimitsExceeded
released_task_b056a515a3adbd70,pydata__xarray-3095,NO_GUARD,a2bb471fcae1,deepseek-v4-flash,True,667,1,completed,LimitsExceeded
released_task_b056a515a3adbd70,pydata__xarray-3095,WARN_REPLAN_GUARD,7bb4ac0d010b,deepseek-v4-flash,True,667,1,completed,Submitted
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,HARD_STOP_GUARD,5ff34ea5ad04,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_b056a515a3adbd70,pydata__xarray-3095,HARD_STOP_GUARD,d5842899f65a,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,NO_GUARD,30049c3f7ab3,deepseek-v4-flash,True,416,1,completed,Submitted
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,WARN_REPLAN_GUARD,4c8a259e923d,deepseek-v4-flash,True,416,1,completed,Submitted
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,HARD_STOP_GUARD,d32562bafd98,deepseek-v4-flash,True,416,1,completed,hard_stop_guard
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,NO_GUARD,c541bcd1ad35,deepseek-v4-flash,True,1151,1,completed,Submitted
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,WARN_REPLAN_GUARD,49ed622c4e11,deepseek-v4-flash,True,753,1,completed,Submitted
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,HARD_STOP_GUARD,8314f0966a55,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_5e850f2d21dabd70,django__django-11477,NO_GUARD,f8e838c9c8d5,deepseek-v4-flash,True,651,1,completed,Submitted
released_task_5e850f2d21dabd70,django__django-11477,WARN_REPLAN_GUARD,b77752aad666,deepseek-v4-flash,True,651,1,completed,Submitted
released_task_5e850f2d21dabd70,django__django-11477,HARD_STOP_GUARD,fa85e6d6c747,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_7e04a501679a132a,django__django-16032,NO_GUARD,87a1d1e7a45c,deepseek-v4-flash,False,0,0,completed,LimitsExceeded
released_task_7e04a501679a132a,django__django-16032,WARN_REPLAN_GUARD,5816aba16c22,deepseek-v4-flash,False,0,0,completed,LimitsExceeded
released_task_7e04a501679a132a,django__django-16032,HARD_STOP_GUARD,4d2af0cb0ded,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_62e1a300553b00f6,django__django-15814,NO_GUARD,8ec64984e010,deepseek-v4-flash,True,627,1,completed,LimitsExceeded
released_task_62e1a300553b00f6,django__django-15814,WARN_REPLAN_GUARD,80541525c1a5,deepseek-v4-flash,True,705,1,completed,Submitted
released_task_62e1a300553b00f6,django__django-15814,HARD_STOP_GUARD,546be4c10ac6,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_d0c764a7cfe98bbb,django__django-15503,NO_GUARD,4f5da0221a3e,deepseek-v4-flash,True,2971,1,completed,LimitsExceeded
released_task_d0c764a7cfe98bbb,django__django-15503,WARN_REPLAN_GUARD,da8931a3535b,deepseek-v4-flash,True,3152,1,completed,LimitsExceeded
released_task_d0c764a7cfe98bbb,django__django-15503,HARD_STOP_GUARD,ee80692a325c,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_dfa98b4dcdc90f6b,django__django-11133,NO_GUARD,2da87b30c7aa,deepseek-v4-flash,True,1128,1,completed,Submitted
released_task_dfa98b4dcdc90f6b,django__django-11133,WARN_REPLAN_GUARD,55d93f351559,deepseek-v4-flash,True,1022,1,completed,Submitted
released_task_dfa98b4dcdc90f6b,django__django-11133,HARD_STOP_GUARD,756fc06f7831,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_6f4886a7683a7987,pydata__xarray-4966,NO_GUARD,fa1442f4eb11,deepseek-v4-flash,True,1019,1,completed,Submitted
released_task_6f4886a7683a7987,pydata__xarray-4966,WARN_REPLAN_GUARD,faa0f12c6879,deepseek-v4-flash,True,1019,1,completed,Submitted
released_task_6f4886a7683a7987,pydata__xarray-4966,HARD_STOP_GUARD,183d305d079a,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_f7656944fa46c5cd,django__django-12754,NO_GUARD,fb1d7607a052,deepseek-v4-flash,True,1256,1,completed,LimitsExceeded
released_task_f7656944fa46c5cd,django__django-12754,WARN_REPLAN_GUARD,96eb7e5ce7b9,deepseek-v4-flash,True,1311,1,completed,LimitsExceeded
released_task_f7656944fa46c5cd,django__django-12754,HARD_STOP_GUARD,45d31b82ae4f,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_34f0eda326d9b62e,django__django-15022,NO_GUARD,f28bf47cc776,deepseek-v4-flash,True,1512,1,completed,LimitsExceeded
released_task_34f0eda326d9b62e,django__django-15022,WARN_REPLAN_GUARD,72ee450ba6fb,deepseek-v4-flash,True,1146,1,completed,LimitsExceeded
released_task_34f0eda326d9b62e,django__django-15022,HARD_STOP_GUARD,fe9def2bf55b,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_a66062ecd2a73e1b,pydata__xarray-7229,NO_GUARD,01e71a8a5e01,deepseek-v4-flash,False,0,0,completed,LimitsExceeded
released_task_a66062ecd2a73e1b,pydata__xarray-7229,WARN_REPLAN_GUARD,9a5d1af0f6a4,deepseek-v4-flash,True,1116,1,completed,LimitsExceeded
released_task_a66062ecd2a73e1b,pydata__xarray-7229,HARD_STOP_GUARD,3af4ffa19a2f,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_8b893a87713ebd6d,pydata__xarray-6938,NO_GUARD,31003f6ecc73,deepseek-v4-flash,False,0,0,completed,LimitsExceeded
released_task_8b893a87713ebd6d,pydata__xarray-6938,WARN_REPLAN_GUARD,3b0ade649f91,deepseek-v4-flash,True,538,1,completed,Submitted
released_task_8b893a87713ebd6d,pydata__xarray-6938,HARD_STOP_GUARD,5a92b5706789,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_6c4107394026fd81,scikit-learn__scikit-learn-11310,NO_GUARD,fef8f3f45fc1,deepseek-v4-flash,True,2130,1,completed,LimitsExceeded
released_task_6c4107394026fd81,scikit-learn__scikit-learn-11310,WARN_REPLAN_GUARD,bccd85cb248a,deepseek-v4-flash,True,1884,1,completed,LimitsExceeded
released_task_6c4107394026fd81,scikit-learn__scikit-learn-11310,HARD_STOP_GUARD,ea385f85ecb0,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_9e9a2e8a8e602bb3,pydata__xarray-3677,NO_GUARD,11b9a59274e3,deepseek-v4-flash,True,535,1,completed,Submitted
released_task_9e9a2e8a8e602bb3,pydata__xarray-3677,WARN_REPLAN_GUARD,3e3d10974534,deepseek-v4-flash,True,535,1,completed,Submitted
released_task_9e9a2e8a8e602bb3,pydata__xarray-3677,HARD_STOP_GUARD,bf0148192356,deepseek-v4-flash,False,0,0,completed,hard_stop_guard
released_task_0a99280355bfeb51,django__django-13568,NO_GUARD,8b75f6b25210,deepseek-v4-flash,True,708,1,completed,Submitted
released_task_0a99280355bfeb51,django__django-13568,WARN_REPLAN_GUARD,e8bca170714e,deepseek-v4-flash,True,1088,1,completed,Submitted
released_task_0a99280355bfeb51,django__django-13568,HARD_STOP_GUARD,9018954b6b7c,deepseek-v4-flash,True,1030,1,completed,hard_stop_guard
released_task_99bc6df058728d26,scikit-learn__scikit-learn-13124,NO_GUARD,d979dcbf8954,deepseek-v4-flash,False,0,0,completed,LimitsExceeded
