Dataset,Detector A,Detector B,F1 A,F1 B,Delta F1,PIIR A,PIIR B,Delta PIIR,HN-FPR A,HN-FPR B,Delta HN-FPR,Interpretation
OpenHandsExternal330,max_step_guard (threshold=25),max_step_guard (threshold=200),0.003,0.0,0.003,1.0,0.106,0.894,1.0,0.004,0.996,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=50),max_step_guard (threshold=200),0.004,0.0,0.004,0.998,0.106,0.891,1.0,0.004,0.996,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=75),max_step_guard (threshold=200),0.005,0.0,0.005,0.976,0.106,0.87,0.994,0.004,0.99,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=100),max_step_guard (threshold=200),0.003,0.0,0.003,0.886,0.106,0.78,0.938,0.004,0.934,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=25),max_step_guard (threshold=150),0.003,0.008,0.005,1.0,0.536,0.464,1.0,0.448,0.552,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=50),max_step_guard (threshold=150),0.004,0.008,0.004,0.998,0.536,0.461,1.0,0.448,0.552,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=75),max_step_guard (threshold=150),0.005,0.008,0.003,0.976,0.536,0.44,0.994,0.448,0.546,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=150),max_step_guard (threshold=200),0.008,0.0,0.008,0.536,0.106,0.43,0.448,0.004,0.444,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=100),max_step_guard (threshold=150),0.003,0.008,0.004,0.886,0.536,0.35,0.938,0.448,0.49,"In OpenHandsExternal330, near-identical F1 is paired with a large PIIR gap, suggesting that aggregate F1 alone is incomplete for intervention mechanisms."
OpenHandsExternal330,max_step_guard (threshold=25),max_step_guard (threshold=100),0.003,0.003,0.001,1.0,0.886,0.114,1.0,0.938,0.062,"In OpenHandsExternal330, the pair has similar F1 but different trigger-site risk, supporting risk-aware reporting."
