paper_number,paper_context,expected_value,reproduced_value,tolerance,source_file,source_columns,reproduction_method,status,notes
154.576,OpenHandsExternal330 average steps,154.576,154.576,0.0005,outputs/expected/paper_tables/table1_evidence_pools.csv,Evidence pool; Avg. steps,row lookup,PASS,
0.012,OpenHandsExternal330 UC prevalence,0.012,0.012,0.0015,outputs/expected/paper_tables/table1_evidence_pools.csv,Evidence pool; UC prevalence,row lookup,PASS,
0.083,Global longest decile UC prevalence,0.083333,0.0833333333333333,0.0015,outputs/expected/length_robustness/length_robustness_summary.csv,comparison; contains_uc_pct,row lookup,PASS,
0.388,Global remaining 90% UC prevalence,0.388025,0.3880248833592535,0.0015,outputs/expected/length_robustness/length_robustness_summary.csv,comparison; contains_uc_pct,row lookup,PASS,
0.973,Excluding OpenHands longest decile UC prevalence,0.973451,0.9734513274336284,0.0015,outputs/expected/length_robustness/length_robustness_summary.csv,comparison; contains_uc_pct,row lookup,PASS,
0.402,Excluding OpenHands remaining 90% UC prevalence,0.402229,0.4022289766970618,0.0015,outputs/expected/length_robustness/length_robustness_summary.csv,comparison; contains_uc_pct,row lookup,PASS,
0.719,Enriched500 max_step_guard threshold=50 F1,0.719,0.7192307692307692,0.0015,outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,dataset; detector; threshold/config; F1,row lookup,PASS,
0.729,"Enriched500 file_revisit_guard window=5,repeats=3 F1",0.729,0.728715126209907,0.0015,outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,dataset; detector; threshold/config; F1,row lookup,PASS,
0.958,"StressFresh100 file_revisit_guard window=10,repeats=3 UC_recall",0.958,0.9581151832460733,0.0015,outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,dataset; detector; threshold/config; UC_recall,row lookup,PASS,
0.868,"StressFresh100 file_revisit_guard window=10,repeats=3 PIIR",0.868,0.8682170542635659,0.0015,outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,dataset; detector; threshold/config; PIIR,row lookup,PASS,
0.797,"StressFresh100 file_revisit_guard window=10,repeats=3 HN_FPR",0.797,0.7970085470085471,0.0015,outputs/expected/intervention_risk_rich_detectors/detector_metrics_by_dataset.csv,dataset; detector; threshold/config; HN_FPR,row lookup,PASS,
0.009,Enriched500 near-F1 pair Delta F1,0.009,0.0094843569791377,0.0015,outputs/expected/intervention_risk_rich_detectors/near_f1_risk_pairs.csv,abs_F1_diff,row lookup,PASS,
0.461,Enriched500 near-F1 pair Delta PIIR,0.461,0.4607449856733524,0.0015,outputs/expected/intervention_risk_rich_detectors/near_f1_risk_pairs.csv,abs_PIIR_diff,row lookup,PASS,
0.23,Enriched500 near-F1 pair Delta HN-FPR,0.23,0.2303680673954468,0.0015,outputs/expected/intervention_risk_rich_detectors/near_f1_risk_pairs.csv,abs_HN_FPR_diff,row lookup,PASS,
"[0.690,0.742]",Bootstrap CI Enriched500 max_step_guard threshold=50 F1,0.69,0.6904027948880006,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_low,row lookup,PASS,lower bound
